phi,theta,Value,image
0,0,0,tev_images/01141.vti_0.png
0,1,0,tev_images/01141.vti_1.png
0,2,0,tev_images/01141.vti_2.png
0,3,0,tev_images/01141.vti_3.png
0,4,0,tev_images/01141.vti_4.png
0,5,0,tev_images/01141.vti_5.png
1,0,0,tev_images/01141.vti_6.png
1,1,0,tev_images/01141.vti_7.png
1,2,0,tev_images/01141.vti_8.png
1,3,0,tev_images/01141.vti_9.png
1,4,0,tev_images/01141.vti_10.png
1,5,0,tev_images/01141.vti_11.png
2,0,0,tev_images/01141.vti_12.png
2,1,0,tev_images/01141.vti_13.png
2,2,0,tev_images/01141.vti_14.png
2,3,0,tev_images/01141.vti_15.png
2,4,0,tev_images/01141.vti_16.png
2,5,0,tev_images/01141.vti_17.png
3,0,0,tev_images/01141.vti_18.png
3,1,0,tev_images/01141.vti_19.png
3,2,0,tev_images/01141.vti_20.png
3,3,0,tev_images/01141.vti_21.png
3,4,0,tev_images/01141.vti_22.png
3,5,0,tev_images/01141.vti_23.png
0,0,1,tev_images/02286.vti_0.png
0,1,1,tev_images/02286.vti_1.png
0,2,1,tev_images/02286.vti_2.png
0,3,1,tev_images/02286.vti_3.png
0,4,1,tev_images/02286.vti_4.png
0,5,1,tev_images/02286.vti_5.png
1,0,1,tev_images/02286.vti_6.png
1,1,1,tev_images/02286.vti_7.png
1,2,1,tev_images/02286.vti_8.png
1,3,1,tev_images/02286.vti_9.png
1,4,1,tev_images/02286.vti_10.png
1,5,1,tev_images/02286.vti_11.png
2,0,1,tev_images/02286.vti_12.png
2,1,1,tev_images/02286.vti_13.png
2,2,1,tev_images/02286.vti_14.png
2,3,1,tev_images/02286.vti_15.png
2,4,1,tev_images/02286.vti_16.png
2,5,1,tev_images/02286.vti_17.png
3,0,1,tev_images/02286.vti_18.png
3,1,1,tev_images/02286.vti_19.png
3,2,1,tev_images/02286.vti_20.png
3,3,1,tev_images/02286.vti_21.png
3,4,1,tev_images/02286.vti_22.png
3,5,1,tev_images/02286.vti_23.png
0,0,2,tev_images/04566.vti_0.png
0,1,2,tev_images/04566.vti_1.png
0,2,2,tev_images/04566.vti_2.png
0,3,2,tev_images/04566.vti_3.png
0,4,2,tev_images/04566.vti_4.png
0,5,2,tev_images/04566.vti_5.png
1,0,2,tev_images/04566.vti_6.png
1,1,2,tev_images/04566.vti_7.png
1,2,2,tev_images/04566.vti_8.png
1,3,2,tev_images/04566.vti_9.png
1,4,2,tev_images/04566.vti_10.png
1,5,2,tev_images/04566.vti_11.png
2,0,2,tev_images/04566.vti_12.png
2,1,2,tev_images/04566.vti_13.png
2,2,2,tev_images/04566.vti_14.png
2,3,2,tev_images/04566.vti_15.png
2,4,2,tev_images/04566.vti_16.png
2,5,2,tev_images/04566.vti_17.png
3,0,2,tev_images/04566.vti_18.png
3,1,2,tev_images/04566.vti_19.png
3,2,2,tev_images/04566.vti_20.png
3,3,2,tev_images/04566.vti_21.png
3,4,2,tev_images/04566.vti_22.png
3,5,2,tev_images/04566.vti_23.png
0,0,3,tev_images/06817.vti_0.png
0,1,3,tev_images/06817.vti_1.png
0,2,3,tev_images/06817.vti_2.png
0,3,3,tev_images/06817.vti_3.png
0,4,3,tev_images/06817.vti_4.png
0,5,3,tev_images/06817.vti_5.png
1,0,3,tev_images/06817.vti_6.png
1,1,3,tev_images/06817.vti_7.png
1,2,3,tev_images/06817.vti_8.png
1,3,3,tev_images/06817.vti_9.png
1,4,3,tev_images/06817.vti_10.png
1,5,3,tev_images/06817.vti_11.png
2,0,3,tev_images/06817.vti_12.png
2,1,3,tev_images/06817.vti_13.png
2,2,3,tev_images/06817.vti_14.png
2,3,3,tev_images/06817.vti_15.png
2,4,3,tev_images/06817.vti_16.png
2,5,3,tev_images/06817.vti_17.png
3,0,3,tev_images/06817.vti_18.png
3,1,3,tev_images/06817.vti_19.png
3,2,3,tev_images/06817.vti_20.png
3,3,3,tev_images/06817.vti_21.png
3,4,3,tev_images/06817.vti_22.png
