timestep,prs
1,291830314.80859375
2,274132592.0390625
3,564784991.3125
4,452384999.96484375
5,264293641.65820312
6,663543707.3046875
7,818745375.5507812
8,298849215.953125
9,331246926.0703125
10,278330041.9863281
11,278738127.3046875
12,381495910.64453125
13,1944836993.0390625
14,399315210.5
15,253548051.83789062
16,242206697.55078125
17,286289400.96484375
18,342689682.97265625
19,256335504.0
20,250601963.62402344
21,289733388.7363281
22,299831969.84765625
23,322092448.0078125
24,281993916.12890625
