timestep,prs
1,583594800.0
2,548225340.0
3,607284350.0
4,1129502100.0
5,810095550.0
6,904702850.0
7,528554140.0
8,1327045500.0
9,1637422800.0
10,597630500.0
11,662452000.0
12,484402560.0
13,556613000.0
14,557434430.0
15,29766390000.0
16,762950300.0
17,3889631700.0
18,583138800.0
19,798588350.0
20,1696858600.0
21,507057250.0
22,484402560.0
23,572536600.0
24,685337900.0
25,512671000.0
26,501174300.0
27,579424500.0
28,599609000.0
29,644117000.0
30,528696670.0
31,563935400.0
32,767002100.0
33,514863550.0
34,643511800.0
35,606715970.0
36,554226940.0
