timestep,rho
1,0.18158525
2,0.1815853
3,0.18158533
4,0.18158525
5,0.18158478
6,0.1815827
7,0.18157884
8,0.18157604
9,0.18156946
10,0.18155405
11,0.18154131
12,0.18152925
13,0.1815205
14,0.1814863
15,0.18145618
16,0.18143816
17,0.18141627
18,0.18141504
19,
20,45101210.0
21,
22,45594370.0
23,0.1813961
24,0.18139316
25,0.18135148
26,0.1813355
27,0.18128201
28,0.18127637
29,0.18144195
30,0.18121633
31,0.18119518
32,0.18140186
33,0.18115243
34,
35,44601460.0
36,0.18125558
37,
38,44250864.0
39,
40,44761180.0
41,
42,45556350.0
