timestep,rho
1,1.0176027
2,1.0162276
3,
4,607284350.0
5,1.0376056
6,1.0261735
7,1.0296373
8,1.015459
9,1.0466508
10,1.0543462
11,1.0137181
12,1.0206335
13,1.0137181
14,1.0165555
15,1.0165881
16,1.4208279
17,1.024423
18,1.1186832
19,1.0175852
20,1.0257492
21,1.0597388
22,
23,507057250.0
24,1.0137181
25,1.0171739
26,1.0215029
27,1.0148339
28,
29,501174300.0
30,
31,579424500.0
32,1.0182232
33,1.0137181
34,
35,528696670.0
36,1.0168408
37,1.0245742
38,
39,514863550.0
40,1.0199095
41,1.0184959
42,1.016462
