timestep,tev
1,0.42254895
2,0.33384517
3,0.47090432
4,0.6159488
5,0.5260817
6,0.5631158
7,0.32241818
8,0.9672121
9,0.74309707
10,1.0783565
11,0.49368802
12,1.0745051
13,0.33672544
14,0.33315116
15,2.3499675
16,0.51808697
17,1.8140035
18,0.44207335
19,0.5416348
20,1.2671084
21,0.27427068
22,1.0039023
23,0.4471424
24,0.50674367
25,0.15987463
26,0.15337862
27,0.46639368
28,0.3876366
29,1.1604258
30,0.14299473
31,0.3521391
32,0.5354805
33,0.14826097
34,0.50178206
35,0.4228144
36,0.33431733
