timestep,v03
1,0.0007870558
2,0.0001930312
3,0.001850373
4,0.0021278104
5,0.00214513
6,0.0021614337
7,0.000103885075
8,0.001844123
9,0.0020671466
10,0.0008705677
11,0.0021599173
12,0.00015477197
13,0.000255619
14,0.0001503038
15,0.0012140871
16,0.0021524185
17,0.0013964922
18,0.0011863748
19,0.00216019
20,0.0016659214
21,7.3725516e-08
22,5.3137646e-05
23,0.0012287506
24,0.002195376
25,6.703613e-08
26,6.625555e-08
27,0.0017208841
28,0.00029923854
29,0.0004708797
30,6.395538e-08
31,0.00026568415
32,0.0021552213
33,6.52383e-08
34,0.0021933338
35,0.0008614711
36,0.0002191371
